Date,Price,Open,High,Low,Vol,Change %
12/03/2024,38.89,39,39.17,38.19,707.09,-0.94%
12/02/2024,39.26,38.25,40.35,38.2,891.76,3.10%
11/29/2024,38.08,38.04,38.53,37.86,301.59,0.53%
11/27/2024,37.88,38.77,38.95,37.65,529.3,-2.14%
11/26/2024,38.71,39.29,39.39,38.6,597.53,-2.05%
11/25/2024,39.52,40,41.08,39.3,1.36,-0.20%
11/22/2024,39.6,39.18,39.86,39.18,986.3,1.88%
11/21/2024,38.87,38.01,39.47,37.61,762.29,3.57%
11/20/2024,37.53,38.25,38.25,36.88,561.25,-1.29%
11/19/2024,38.02,35.98,38.12,35.71,948.25,4.42%
11/18/2024,36.41,36.85,37.23,36.26,699.46,-1.19%
11/15/2024,36.85,38.34,38.34,36.22,1.26,-3.91%
11/14/2024,38.35,38.3,39.08,38.02,743.96,0.76%
11/13/2024,38.06,38.55,40.23,38.03,1.16,-0.86%
11/12/2024,38.39,38.91,39.52,38.16,738.49,-2.54%
11/11/2024,39.39,38.78,39.64,37.39,1.18,2.31%
11/08/2024,38.5,38.45,38.77,37.86,1.02,-0.70%
11/07/2024,38.77,39.3,39.81,38.2,1.16,-0.13%
11/06/2024,38.82,36.95,38.84,36.58,2.23,8.28%
11/05/2024,35.85,35.37,35.95,34.6,1.83,1.47%
11/04/2024,35.33,38.3,38.51,35.12,3.44,-13.47%
11/01/2024,40.83,40.01,41.36,39.7,1.46,3.16%
10/31/2024,39.58,40.76,41,39.56,893.13,-3.35%
10/30/2024,40.95,41.15,41.47,40.86,852.16,-0.66%
10/29/2024,41.22,40.55,41.28,40.5,799.24,0.81%
10/28/2024,40.89,41.61,41.71,40.43,893.98,-0.37%
10/25/2024,41.04,40.99,41.65,40.52,542.43,-0.44%
10/24/2024,41.22,41.27,41.92,40.83,552.82,0.34%
10/23/2024,41.08,41.92,42.13,40.57,776.17,-2.00%
10/22/2024,41.92,42.36,42.64,41.9,679.02,-1.83%
10/21/2024,42.7,43.36,43.93,42.65,697.8,-1.43%
10/18/2024,43.32,44.05,44.8,43.17,804.23,-1.12%
